route_id,task_family,task_subtype,coupling,decomposition_difficulty,time_horizon,context_topology,solo_team_choice,controller_model,controller_effort,worker_model,worker_effort,harness,concurrency_cap,alternative_route,downshift_trigger,escalation_trigger,verification_policy,cost_latency_implications,failure_modes,evidence_strength,evidence_ids,recommendation_status,revision_trigger
RT-01,Solo execution,"Small deterministic change, narrow transformation, or one-step answer",Tightly coupled / atomic,None,Minutes,Single shared context,Solo,Sonnet 5 or GPT-5.6 Terra; Opus 5 when failure cost is material,Low or Medium,None,n/a,Single agent with deterministic tools/tests,0,Opus 5 Medium solo,"Clear acceptance test, low ambiguity, cheap rollback","Hidden coupling, failed test, unresolved requirement",Machine check or exact diff; no model-only self-approval,Team overhead is likely negative; cheapest acceptable solo route,"Unnecessary fan-out, context duplication, over-verification",Moderate,P-F5 p272; W-CODE-AGENTS; W-CODE-TEAMS,Recommendation from evidence + engineering judgment,Representative local tasks show team reduces verified latency or severe failures
RT-02,Solo implementation,Contained autonomous patch with clear tests and bounded surface,"Moderate, local",Low,Tens of minutes to hours,"Repository-local, coherent",Solo first,Opus 5,Medium,None,n/a,Claude Code / coding agent with tests,0,GPT-5.6 Sol High or Fable High for capability-sensitive tail,Mechanical change and strong tests -> Sonnet 5 High or Sol Medium,"Architecture uncertainty, repeated failed patch, repo-wide root cause","Held-out tests, lint/typecheck, diff review; human review for consequential code",Opus Medium is a strong efficiency point; higher effort can regress on FrontierCode,"Scope expansion, redesign after a valid plan, redundant checks",Moderate (vendor figure + independent CursorBench direction),P-O5 p151 Figs 8.4.A-B; W-CURSOR; W-A-OPUS,Task-conditioned recommendation,Local patch suite shows High/XHigh higher verified success at acceptable cost
RT-03,Solo implementation,Complex but tightly coupled architecture or debugging,High,High but non-parallel,Hours,One evolving causal model,"Solo or one fresh verifier, not broad team",Opus 5,High; XHigh after failure,Optional fresh Opus 5 Medium verifier,Medium,Single lead plus bounded verifier,1,GPT-5.6 Sol High/XHigh; Fable High if work graph becomes dynamic,Root cause localized and testable,Competing plausible causes or repeated causal-model failure,"Reproduce bug, invariant tests, adversarial regression tests",XHigh only when the extra reasoning changes decisions; Max not default,"Overthinking, tunnel vision, verifier correlation",Low-moderate,P-O5 p150/p158; W-A-OPUS; W-OAI-GUIDANCE,Inference requiring local validation,Paired debugging trials favor another model-effort combination
RT-04,Bounded research fan-out,"Independent source classes, jurisdictions, repositories, or hypotheses",Low,Known in advance,Minutes to hours,Isolated worker contexts; one synthesis context,Team,Opus 5,High,Sonnet 5 or Opus 5,Low/Medium for retrieval; High for interpretation,Claude Code custom subagents or dynamic workflow,3-5,GPT-5.6 Sol multi-agent when homogeneous workers are acceptable,Fewer than three truly independent workstreams,"Work graph changes, cross-worker dependencies emerge, project persists across rounds","Source-class coverage checklist, duplicate/contradiction detection, citation verifier",Parallelism can reduce wall time but increases total tokens; cheap workers are usually sufficient,"Duplicate searches, shallow summaries, synthesis omission",Moderate,P-O5 p163-168; P-F5 p270-276; W-CODE-SUBAGENTS; W-CODE-WORKFLOWS,Evidence-backed provisional route,Controller-swap local eval shows Fable materially improves verified synthesis
RT-05,Fixed peer teams,Independent peers each receive full task and compare or merge results,Low to medium,Harness-defined,Hours,Full-task replicated contexts + peer messages,Team only when diversity/replication is valuable,Opus 5 or Fable 5 peers; deterministic merger,High/XHigh,Same model or mixed if harness supports,High/XHigh; keep consistent within test,Claude Code agent teams (experimental) or custom fixed peer harness,3-5,Subagents plus deterministic synthesis,Shared mutable files or sequential dependencies,Need direct peer debate or independent replication,Independent outputs before communication; conflict log; final machine check,Linear token growth and diminishing returns; strong endpoints in vendor BrowseComp,"Same-file conflicts, group convergence, redundant work",Moderate for benchmark; low for production generalization,P-O5 p163-164; P-F5 p270-271; W-CODE-TEAMS,Conditional recommendation,Local repeated trials show stable gain after total-cost accounting
RT-06,Blocking lead-subagent,"Lead dispatches one worker, waits, then continues",Medium,Known or sequentially discovered,Minutes to hours,Fresh worker contexts; lead bottleneck,Usually avoid,Opus 5 High if required,High,Opus 5 Medium / Sonnet 5 High,Medium/High,Blocking supervisor-worker,1,Async long-lived subagents or solo lead,One side task only -> named subagent,Multiple independent workstreams or recurring worker context,Checkpoint after each return; preserve source/tool evidence,Synchronization and repeated context establishment can dominate,"Lead idle time, context restarts, long latency tail",Moderate for Fable benchmark architecture,P-F5 p270-276; P-O48 p210,Negative routing recommendation,Operational constraints make async impossible and blocking proves reliable
RT-07,Asynchronous lead with long-lived workers,Persistent research/engineering workers with repeated messages and evolving subtasks,Medium,Medium-high,Hours,Long-lived isolated contexts + lead integration context,Team,Fable 5,High; XHigh for capability-sensitive tail,Opus 5 implementers; Sonnet 5 scouts,Opus Medium; Sonnet High/Medium,Async Claude Code subagents with explicit checkpoints and messaging,4 default; raise only with measured utilization,Opus 5 XHigh controller with same workers,Work graph stabilizes and worker communication becomes one-shot,"Repeated replanning, cross-worker coordination, days-scale persistence","Tool-grounded status, worker deliverables, integration tests, fresh final verifier",Fable controller premium can be offset by cheaper workers; long-lived context improves cache economics,"Long turns, scope drift, fabricated progress, worker starvation",Moderate vendor evidence; independent controller comparison missing,P-F5 p270-276; W-A-FABLE sections Delegation/Parallel subagents; R-CLAW,Vendor-supported inference,Same-worker controller swap finds Opus equal/better on verified cost or Fable premium fails to repay
RT-08,Dynamic decomposition and replanning,"Unknown work graph; streams created, merged, terminated as evidence arrives",Variable,Very high,Hours to days,Evolving graph with selective shared state,Team,Fable 5,XHigh; High as economic starting point,"Mixed: Opus 5 Medium/High, Sonnet 5 High, deterministic tools",Task-specific,Fable lead + long-lived subagents; script-backed dynamic workflow for repeatable stages,4-6 with budget and liveness controls,Opus 5 XHigh + deterministic planner/workflow,Decomposition becomes stable and separable,Integrator repeatedly loses global objective or workers require active reallocation,"Task graph audit, dependency checks, explicit stopping and rollback criteria",Highest coordination overhead; use only when topology—not raw task difficulty—is the bottleneck,"Runaway fan-out, stale plans, hidden dependencies, forgotten workstreams",Low-moderate; mainly vendor behavior guidance,W-A-FABLE; W-CODE-WORKFLOWS; P-F5 p275-276,Provisional recommendation / speculation bounded by test,Controlled dynamic-task suite reverses manager ranking
RT-09,Implementation orchestration,Independent repository areas with explicit interfaces,Low-medium if boundaries are real,Medium,Hours to days,Per-area checkout/worktree plus integration branch,Team,Opus 5,High,Opus 5,Medium implementers; High for ambiguous modules,Custom subagents/worktrees; controller owns interface contract and merge,2-4,Fable High controller + same Opus workers for larger evolving migrations,One module or shared-file hot spot,Interfaces change repeatedly or integration failures dominate,"Worker-local tests, API contract tests, integrated regression suite, human diff review",Opus Medium workers exploit implementation sweet spot; avoid Fable workers unless tail capability is needed,"Merge conflict, interface drift, duplicated refactors, weak integration",Moderate for worker effort; low for controller choice,P-O5 p151; P-F5/P-O5 ProgramBench; W-CODE-SUBAGENTS/TEAMS,Mixed evidence + recommendation,Repo-scale paired trials show Fable controller reduces integration defects enough to repay cost
RT-10,Debugging with competing hypotheses,Multiple plausible root causes can be tested independently,"Low during investigation, high at resolution",Medium,Hours,Independent hypothesis contexts; shared evidence board,Team of investigators + one integrator,Opus 5,High; XHigh if evidence conflicts,Opus 5 Medium or Sonnet 5 High,Medium/High,Agent team or subagents with blind initial hypotheses,3-4,Fable High for repeated hypothesis generation/reallocation,Reproduction isolates one subsystem,Workers converge prematurely or evidence invalidates decomposition,Each worker must propose falsifier and execute test; integrator reruns decisive test,Parallelism valuable only if tests are independent,"Anchoring, correlated hypotheses, evidence cherry-picking","Low-moderate; harness guidance, not model head-to-head",W-CODE-TEAMS section competing hypotheses; P-O5 effort profiles,Method recommendation,Local debugging benchmark measures no benefit over solo
