benchmark,model,effort,score,unit,best_score_in_curve,best_effort_in_curve,delta_from_curve_best,source_id,pdf_page,figure_or_table,harness_scope,extraction_method
DeepSWE v1.1,Opus 5,Low,57.7,percent / benchmark score as labelled,69.7,XHigh,-12.0,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 5,Medium,66.9,percent / benchmark score as labelled,69.7,XHigh,-2.8,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 5,High,68.0,percent / benchmark score as labelled,69.7,XHigh,-1.7,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 5,XHigh,69.7,percent / benchmark score as labelled,69.7,XHigh,0.0,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 5,Max,68.8,percent / benchmark score as labelled,69.7,XHigh,-0.9,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Fable 5,Low,59.6,percent / benchmark score as labelled,69.9,XHigh,-10.3,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Fable 5,Medium,65.4,percent / benchmark score as labelled,69.9,XHigh,-4.5,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Fable 5,High,68.6,percent / benchmark score as labelled,69.9,XHigh,-1.3,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Fable 5,XHigh,69.9,percent / benchmark score as labelled,69.9,XHigh,0.0,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Fable 5,Max,69.7,percent / benchmark score as labelled,69.9,XHigh,-0.2,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 4.8,Low,40.8,percent / benchmark score as labelled,59.0,Max,-18.2,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 4.8,Medium,48.7,percent / benchmark score as labelled,59.0,Max,-10.3,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 4.8,High,51.8,percent / benchmark score as labelled,59.0,Max,-7.2,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 4.8,XHigh,54.4,percent / benchmark score as labelled,59.0,Max,-4.6,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Opus 4.8,Max,59.0,percent / benchmark score as labelled,59.0,Max,0.0,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Sonnet 5,Low,30.5,percent / benchmark score as labelled,53.8,Max,-23.3,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Sonnet 5,Medium,39.8,percent / benchmark score as labelled,53.8,Max,-14.0,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Sonnet 5,High,48.2,percent / benchmark score as labelled,53.8,Max,-5.6,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Sonnet 5,XHigh,49.7,percent / benchmark score as labelled,53.8,Max,-4.1,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
DeepSWE v1.1,Sonnet 5,Max,53.8,percent / benchmark score as labelled,53.8,Max,0.0,P-O5,150,Figure 8.3.A,DeepSWE v1.1 agentic coding harness,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 5,Low,41.9,percent / benchmark score as labelled,53.4,Medium,-11.5,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 5,Medium,53.4,percent / benchmark score as labelled,53.4,Medium,0.0,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 5,High,48.0,percent / benchmark score as labelled,53.4,Medium,-5.4,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 5,XHigh,43.6,percent / benchmark score as labelled,53.4,Medium,-9.8,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 5,Max,48.0,percent / benchmark score as labelled,53.4,Medium,-5.4,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Fable 5,Low,48.0,percent / benchmark score as labelled,53.5,XHigh,-5.5,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Fable 5,Medium,49.8,percent / benchmark score as labelled,53.5,XHigh,-3.7,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Fable 5,High,52.7,percent / benchmark score as labelled,53.5,XHigh,-0.8,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Fable 5,XHigh,53.5,percent / benchmark score as labelled,53.5,XHigh,0.0,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Fable 5,Max,51.6,percent / benchmark score as labelled,53.5,XHigh,-1.9,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 4.8,Low,35.1,percent / benchmark score as labelled,46.5,Max,-11.4,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 4.8,Medium,40.5,percent / benchmark score as labelled,46.5,Max,-6.0,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 4.8,High,41.0,percent / benchmark score as labelled,46.5,Max,-5.5,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,Opus 4.8,XHigh,45.5,percent / benchmark score as labelled,46.5,Max,-1.0,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
