claim_id,claim_text,epistemic_status,direct_support,contrary_evidence,source_role,scope_conditions,confidence_basis,calculation,revision_trigger
C-001,Opus 5 base input and output token rates are exactly half Fable 5 rates as of 2026-07-24.,Verified external fact,"W-A-PRICE, Pricing model table, accessed 2026-07-24.","None for list rates; total task cost can reverse because token volume, caching, fallback, tools, verification, and retries differ.",Vendor pricing documentation,Anthropic API base token rates in USD; date-sensitive.,Direct official current price table.,Input: $5 / $10 = 0.50; output: $25 / $50 = 0.50.,Pricing or promotional terms change.
C-002,"On FrontierCode Main and Extended in the Opus 5 card, Opus 5 scores highest at Medium, not High/XHigh/Max.",Vendor-reported observation,"P-O5 p.151, Figs. 8.4.A-B. Main: 41.9, 53.4, 48.0, 43.6, 48.0. Extended: 55.8, 63.6, 58.5, 56.9, 58.9.",CursorBench 3.2 rises from Opus Medium 64.3 to Max 70.0; DeepSWE rises through XHigh.,Vendor system card using Cognition benchmark,Autonomous patch generation in Cognition FrontierCode harness; mean@5; does not establish universal implementation optimum.,Exact numeric figure labels and sharp non-monotonic differences.,Main Medium minus XHigh = 53.4 - 43.6 = +9.8 pp; Extended Medium minus XHigh = 63.6 - 56.9 = +6.7 pp.,Representative local implementation suite shows higher effort reliably improves verified success.
C-003,"For DeepSWE v1.1, both Opus 5 and Fable 5 peak at XHigh and slightly regress at Max.",Vendor-reported observation,"P-O5 p.150, Fig. 8.3.A. Opus 69.7 XHigh vs 68.8 Max; Fable 69.9 vs 69.7.","Other tasks, including CursorBench, peak at Max; Opus4.8 and Sonnet5 DeepSWE continue rising to Max.",Vendor system card,DeepSWE v1.1 harness only.,Exact figure values.,Opus regression 68.8 - 69.7 = -0.9 pp; Fable regression 69.7 - 69.9 = -0.2 pp.,New DeepSWE version or released-config replication changes curve.
C-004,BrowseComp single-agent performance mostly plateaus by High for Opus 5 and by XHigh for Fable/Mythos 5.,Synthesis from vendor-reported observation,"P-O5 p.160, Fig. 8.10.2.B. Opus High 90.2, XHigh 90.7, Max 90.8; Fable High 87.3, XHigh 88.0, Max 88.0.",High-to-XHigh can still matter for rare hard cases; cost/latency labels should be considered.,Vendor system card,"BrowseComp, single agent, fixed 10M-token budget.",Small marginal score changes after High/XHigh.,Opus Max - High = +0.6 pp; Fable Max - XHigh = 0.0 pp.,Hard-tail or utility-weighted analysis finds material gains hidden by average score.
C-005,Opus 4.8 async lead with subagents scored below its own 10M-token solo BrowseComp baseline.,Vendor-reported observation,"P-O48 p.210, Fig. 8.11.1.A: async 83.0; solo 10M 84.3.",Opus4.8 fixed five-agent 85.4 and blocking orchestrator 88.5 both exceeded solo; the failure is harness-specific.,Vendor system card,Opus4.8 BrowseComp async harness; not all multi-agent work.,Direct exact labels.,83.0 - 84.3 = -1.3 percentage points.,Same-harness replication with current snapshot or released historical config.
C-006,Opus 5 no longer reproduces the specific Opus 4.8 negative async BrowseComp result.,Cross-version synthesis,P-O5 p.163 Fig. 8.11.1.A: async 93.4 vs solo 90.5; P-O48 p.210: async 83.0 vs solo 84.3.,"Cards use different vintages/configurations; Opus5 runs were pre-release, unreleased effort, no safety classifiers.",Vendor system cards,Direction of async uplift on BrowseComp only.,Sign of within-card delta changes from negative to positive.,Opus5 rounded delta = 93.4 - 90.5 = +2.9 pp; Opus4.8 = -1.3 pp.,Released Opus5 async reproduction or other orchestration tasks show regression.
C-007,Fable/Mythos 5 receives a larger within-card async BrowseComp uplift than Opus 5.,Calculation from vendor-reported observations,P-F5 p.270: 93.3 vs 88.0; P-O5 p.163: 93.4 vs 90.5.,Fable starts from lower solo baseline; cards are not one controlled experiment; Opus prose uses unrounded +2.8.,Vendor system cards,Within-card rounded score deltas; not controller quality.,Transparent arithmetic with caveats.,Fable +5.3 pp; Opus +2.9 pp rounded (p.164 prose +2.8); difference ≈2.4-2.5 pp.,"Same-task, same-worker, same-budget controller swap."
C-008,The 93.4 Opus 5 and 93.3 Fable async endpoints are approximately tied and do not support a one-decimal superiority claim.,Synthesis / interpretation,P-O5 p.163 and P-F5 p.270.,"Numerically Opus is 0.1 higher, but configuration and card differences dominate that gap.",Cross-source synthesis,"Separate vendor cards, different model/configuration vintages.",Gap is tiny relative to uncontrolled differences and unknown variance.,93.4 - 93.3 = 0.1 pp.,Controlled head-to-head with uncertainty intervals.
C-009,Public homogeneous-team results do not isolate controller quality from worker and integrator quality.,Verified methodological limitation,P-O5 p.168 and P-F5 pp.275-276 describe same-model/effort team configurations; AHR-C §11.2 requires configuration-level attribution.,"ClawArena-Team isolates managers with a fixed worker pool, but has no Opus5 row and uses one run/fallback.",Vendor methodology + independent repository artifact,Attribution of causal manager quality.,Lead and worker variables change together in reported Anthropic teams.,Not applicable.,Published same-worker controller-swap experiment includes Opus5 and Fable5.
C-010,Anthropic officially characterizes Fable 5 as more dependable at dispatching and sustaining parallel subagents.,Official vendor claim,"W-A-FABLE, section Capability improvements, accessed 2026-07-24.",No independent controlled Opus5-vs-Fable5 manager study located; claim may reflect internal setup and product positioning.,Vendor web guidance,"Declared product behavior, not independently verified prevalence or superiority.",Direct official wording; institutional interest explicitly qualified.,Not applicable.,Independent same-worker study contradicts or quantifies the claim.
